Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: billion USD
Country;Oil;Gas;Coal;Electricity;Total subsidies as % of GDP (MER)
Qatar;1;4;0;5;4
Azerbaijan;2;5;0;4;16
Libya;9;0;0;3;28
Venezuela;5;1;0;6;22
Turkmenistan;2;10;0;3;20
Malaysia;13;1;0;2;4
Nigeria;12;3;0;4;4
Ukraine;0;9;0;10;13
Argentina;9;8;0;4;3
Kuwait;4;6;0;11;12
Iraq;14;1;0;7;8
Uzbekistan;2;15;0;6;32
Bangladesh;0;10;0;16;6
Pakistan;9;11;0;7;8
Vietnam;1;1;4;27;5
Kazakhstan;10;8;3;14;15
UAE;5;20;0;12;7
Indonesia;36;0;0;8;3
Algeria;16;20;0;14;26
India;34;2;0;19;2
Egypt;25;9;0;31;14
Saudi Arabia;35;17;0;25;7
China;29;20;0;55;1
Iran;52;45;0;30;36
Russia;0;98;0;63;7
